id	Methanosphaera	Methanobrevibacter	Candidatus_Methanomethylophilus	uncultured	Pla4_lineage	Pirellula	CPla-4_termite_group	p-1088-a5_gut_group	Endomicrobium	Elusimicrobium	Absconditabacteriales_(SR1)	DEV114	LD1-PB3	WCHB1-41	Gastranaerophilales	Flexilinea	Pyramidobacter	Synergistes	Fibrobacter	Phoenicibacter	uncultured	Raoultibacter	Atopobium	uncultured	MVP-15	uncultured	Deinococcus	Corynebacterium	Microbacteriaceae Family	Brachybacterium	Arthrobacter	uncultured	uncultured	Bifidobacterium	Mailhella	Desulfovibrio	Bilophila	Desulfuromonadaceae	uncultured	d__Bacteria Kingdom	uncultured	Mitochondria	Sphingomonas	Desulfobulbus	Campylobacter	Suttonella	Pseudomonas	Pantoea	Lautropia	Parasutterella	Sutterella	Rhodocyclaceae Family	Janthinobacterium	uncultured	Kingella	Neisseria	Alysiella	Pasteurellaceae Family	Gallibacterium	Actinobacillus	Bibersteinia	Ruminobacter	Succinivibrio	uncultured	Succinatimonas	Anaerobiospirillum	Succinimonas	Succinivibrionaceae_UCG-001	Succinivibrionaceae_UCG-002	Moraxella	Psychrobacter	Alkanindiges	Acinetobacter	Stenotrophomonas	Megasphaera	Veillonellaceae_UCG-001	Schwartzia	Megamonas	uncultured	Anaerovibrio	Selenomonas	Phascolarctobacterium	WPS-2	Succiniclasticum	Streptococcus	Enterococcus	Jeotgalicoccus	Staphylococcus	Anaerofustis	Eubacterium	Clostridia Class	Christensenellaceae_R-7_group	0319-6G20	RF39	Izemoplasmataceae	Izemoplasmatales	NED5E9	Acholeplasmataceae Family	Anaeroplasma	Sharpea	Erysipelotrichaceae_UCG-002	UCG-004	Solobacterium	Erysipelotrichaceae_UCG-009	[Anaerorhabdus]_furcosa_group	uncultured	Erysipelothrix	Faecalicoccus	Catenisphaera	uncultured	JGI_0000069-P22	Fusobacterium	Caviibacter	vadinBE97	Victivallaceae	Chryseobacterium	Bergeyella	Rikenellaceae_RC9_gut_group	U29-B03	SP3-e08	Rikenellaceae Family	uncultured	F082	uncultured	uncultured	hoa5-07d05_gut_group	Bacteroidales Order	Bacteroidales_RF16_group	p-251-o5	Butyricimonas	Odoribacter	Porphyromonas	Alloprevotella	Prevotellaceae_Ga6A1_group	Prevotellaceae_UCG-004	Prevotellaceae_NK3B31_group	uncultured	Prevotellaceae Family	Prevotellaceae_YAB2003_group	Prevotella_7	Prevotellaceae_UCG-001	Prevotella	Paraprevotella	Bacteroidales_UCG-001	uncultured	Prevotellaceae	Prevotellaceae_UCG-003	Bacteroides	Parabacteroides	Barnesiella	Muribaculaceae	Bacteroidia Class	Bacteroidetes_BD2-2	Alistipes	Bacteroidales_BS11_gut_group	M2PB4-65_termite_group	CAP-aah99b04	Flavobacterium	M2PT2-76_termite_group	Treponema	Sediminispirochaeta	Mycoplasma	Paeniclostridium	Romboutsia	Amnipila	Anaerovorax	Family_XIII_UCG-001	Mogibacterium	[Eubacterium]_nodatum_group	Anaerovoracaceae Family	Family_XIII_AD3011_group	uncultured	uncultured	Clostridium_sensu_stricto_1	Clostridia_vadinBB60_group	Clostridia_UCG-014	Firmicutes Phylum	UCG-010	Monoglobus	Hungateiclostridiaceae Family	Ruminiclostridium	Saccharofermentans	Oscillospirales Order	UCG-005	UCG-007	Papillibacter	Oscillospira	Oscillibacter	UCG-002	UCG-012	Colidextribacter	V9D2013_group	uncultured	Oscillospiraceae Family	NK4A214_group	Ruminococcaceae	[Clostridium]_methylpentosum_group	Candidatus_Soleaferrea	Subdoligranulum	Ruminococcus	[Eubacterium]_coprostanoligenes_group	Incertae_Sedis	Ruminococcaceae Family	uncultured	CAG-352	Tyzzerella	Defluviitaleaceae_UCG-011	Lachnospiraceae_UCG-010	uncultured	Lachnospiraceae_UCG-001	Anaerosporobacter	Lachnospiraceae_UCG-006	Lachnospiraceae	[Eubacterium]_xylanophilum_group	Coprococcus	Lachnospiraceae_NC2004_group	[Eubacterium]_ruminantium_group	Lachnospira	[Eubacterium]_eligens_group	Lachnospiraceae_UCG-008	[Bacteroides]_pectinophilus_group	[Eubacterium]_hallii_group	Blautia	Lachnospiraceae_FE2018_group	Acetitomaculum	Lachnospiraceae_UCG-002	[Eubacterium]_cellulosolvens_group	Lachnospiraceae_ND3007_group	[Ruminococcus]_gauvreauii_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_XPB1014_group	Lachnospiraceae_AC2044_group	Roseburia	Moryella	Lachnospiraceae_NK3A20_group	FD2005	XBB1006	[Eubacterium]_oxidoreducens_group	Shuttleworthia	[Eubacterium]_ventriosum_group	Howardella	Lachnospiraceae Family	Pseudobutyrivibrio	Lachnospiraceae_FCS020_group	probable_genus_10	Lachnoclostridium	Butyrivibrio	Syntrophococcus	Oribacterium	Marvinbryantia	Lachnospiraceae_UCG-009
19LIB028-19MET452	0	94	0	23	0	6	8	71	0	0	0	0	0	67	18	16	16	61	327	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	44	180	0	0	0	0	10	0	0	0	137	0	0	0	0	0	30	0	0	85	0	0	19	39	11	0	0	75	1867	0	0	0	0	0	1779	0	0	0	0	0	0	0	0	0	0	17	159	0	0	775	234	0	0	0	0	0	91	802	0	0	0	0	0	0	101	567	0	6	18	0	0	91	0	0	0	0	0	11	8	21	0	0	0	6603	112	56	32	0	699	0	0	0	0	546	0	100	0	0	2683	59	160	111	6	164	277	0	25	8342	17	0	375	0	316	127	0	0	82	0	0	0	0	0	0	0	0	392	7	0	0	0	0	14	0	109	0	0	191	0	0	0	4	85	0	52	0	0	0	340	0	0	0	64	0	0	387	0	0	0	0	0	1309	20	0	0	0	44	59	0	0	10	0	0	3	6	9	0	0	13	0	0	24	0	0	0	0	10	0	137	57	0	118	19	0	0	153	0	25	0	0	152	14	0	0	0	0	0	0	0	276	0	0	0	36	0	52	0	0
19LIB028-19MET453	0	0	0	21	0	6	71	29	0	0	0	0	0	92	11	0	8	363	154	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	15	120	0	0	0	0	28	0	3	0	93	0	0	0	0	0	5	178	0	53	0	0	31	53	21	0	64	16	303	547	0	0	0	0	471	0	9	0	0	0	0	0	0	0	0	0	63	0	0	200	11	0	15	0	0	0	0	857	68	24	0	0	0	0	130	0	0	0	6	0	0	70	0	0	0	0	0	49	26	20	0	0	4	2908	10	13	0	0	2043	6	0	7	0	98	0	104	0	0	86	29	13	6	0	10	13	0	277	2363	12	0	252	0	1955	103	0	0	23	0	0	0	0	0	0	0	0	462	6	0	0	0	0	58	0	40	0	0	70	0	49	14	0	270	0	102	0	0	0	160	0	140	0	73	0	0	276	0	0	0	0	0	702	292	0	0	0	324	26	0	0	38	0	0	21	22	38	0	0	8	0	0	0	0	0	0	0	0	0	115	0	0	95	13	0	71	0	36	47	120	0	23	12	0	0	26	0	0	0	12	387	0	0	38	133	0	35	0	0
19LIB028-19MET457	0	0	11	20	0	0	0	12	0	0	0	0	0	113	43	0	17	4	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	115	0	0	0	0	0	0	4	0	33	0	0	0	0	0	0	0	11	144	0	0	9	8	0	0	0	28	152	826	0	0	0	0	178	0	29	0	14	0	0	0	0	0	0	10	80	0	0	382	27	0	0	0	0	0	0	158	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	14	7	0	0	6	0	1483	42	0	0	0	137	0	0	0	11	679	0	15	0	0	80	0	89	630	57	182	22	0	1863	4489	5	0	133	0	2241	86	0	0	27	0	0	0	12	0	0	26	0	151	0	0	0	0	0	0	0	58	0	0	12	0	0	0	18	320	0	31	0	0	0	260	0	0	0	23	0	0	49	0	0	0	0	0	1835	0	0	0	0	162	96	0	0	0	0	0	5	0	20	0	0	0	0	0	0	0	12	0	0	0	0	0	19	0	52	0	0	5	33	72	0	34	0	79	528	16	0	0	0	0	5	0	193	17	20	12	107	0	54	0	0
19LIB028-19MET458	0	0	0	65	0	17	10	8	0	0	0	0	0	126	0	0	12	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	205	0	0	0	0	18	0	17	0	20	0	0	0	0	0	0	88	0	11	0	0	0	0	0	0	16	14	0	0	0	0	0	0	24	28	59	0	17	0	0	0	0	0	0	0	32	0	0	268	0	0	40	0	0	0	494	572	15	5	0	0	0	0	34	0	0	10	0	0	0	54	0	0	0	0	0	31	0	15	0	0	0	2241	0	22	5	0	465	0	0	5	3	11	0	0	0	0	58	0	10	0	9	36	0	0	11	3044	48	0	153	0	2932	0	0	0	237	0	4	0	121	0	0	0	0	279	11	0	0	0	0	64	0	18	0	0	26	8	60	0	64	21	0	15	0	0	0	100	0	72	0	185	0	0	415	0	0	0	0	0	468	0	0	0	0	55	168	0	0	30	0	0	47	14	47	0	0	26	0	0	32	0	0	0	0	0	0	59	18	0	129	0	0	10	0	49	87	59	0	15	47	0	0	13	0	0	0	0	146	0	0	34	146	0	9	0	0
19LIB028-19MET462	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	14	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	16	0	0	0	0	8	46	177	0	25	7	19	0	0	0	0	0	45	11	0	0	7	0	0	0	0	0	0	0	1185	0	0	167	0	0	0	0	0	0	0	126	0	0	0	0	0	0	7	562	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	98	10	0	0	0	163	0	0	0	0	0	0	0	0	0	299	0	0	8	0	10	1986	0	0	428	0	0	0	0	64	550	0	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	23	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	909	0	0
19LIB028-19MET465	0	86	20	305	0	0	0	145	0	0	0	0	0	2228	0	0	12	0	868	0	0	28	0	0	0	0	0	0	11	0	0	0	0	0	29	110	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	544	105	48	0	0	79	89	30	0	132	22	0	0	0	0	0	0	22	65	0	0	61	0	0	0	0	0	0	0	26	0	0	355	0	0	23	0	0	0	397	942	0	12	0	0	0	0	5	338	0	85	291	0	0	65	0	0	0	0	0	61	11	23	0	102	7	4331	278	15	12	0	703	4	0	9	735	0	0	64	0	0	339	24	339	0	52	4	8	0	37	3314	25	58	144	0	3999	32	0	0	0	0	0	0	0	0	0	37	0	1107	17	0	0	0	0	139	0	154	0	0	179	12	0	526	48	0	0	215	0	0	0	895	0	161	0	62	0	0	215	0	0	0	0	0	1664	64	0	0	0	54	19	0	0	37	0	0	279	3	91	0	0	22	0	0	14	0	38	0	0	128	0	0	111	0	26	29	0	0	72	44	52	39	0	0	18	0	0	906	0	0	16	36	79	134	0	49	236	0	0	0	0
19LIB028-19MET466	0	65	7	147	0	0	0	20	0	0	0	0	0	299	0	17	31	0	263	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	55	110	0	0	0	0	133	0	25	0	94	0	0	0	0	0	5	883	115	307	0	0	70	29	22	0	209	101	278	100	0	0	0	0	420	116	28	0	49	0	0	0	0	0	0	43	346	0	0	320	57	0	23	0	0	0	72	350	0	30	0	0	0	0	91	0	0	21	60	0	0	20	0	0	0	0	0	41	29	0	0	101	15	2389	63	17	0	0	518	0	0	5	200	184	0	0	0	0	1541	55	59	24	83	0	30	0	46	10622	83	13	190	0	523	29	0	0	158	0	9	0	59	0	0	28	0	467	20	0	0	0	0	120	0	93	0	0	329	0	6	3847	9	168	0	0	0	0	0	523	0	228	0	64	0	0	82	0	0	0	0	0	344	13	0	0	0	172	24	0	0	9	0	0	100	0	31	0	0	0	0	0	14	0	16	0	0	39	0	0	52	0	286	0	0	15	35	66	58	33	0	11	189	14	0	113	20	0	0	37	401	69	39	63	396	0	15	0	0
19LIB028-19MET468	0	54	28	133	0	0	8	0	0	0	0	0	0	150	0	0	12	0	1002	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	37	207	0	0	0	0	182	0	0	0	21	0	0	0	0	0	0	182	0	0	0	0	10	0	0	0	0	83	20	31	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	260	0	0	436	0	0	0	0	0	0	333	698	19	18	0	0	0	0	96	0	0	62	65	0	0	40	0	0	0	0	0	18	0	14	0	0	0	1077	14	0	6	0	518	7	0	0	0	2633	0	0	0	0	1080	8	42	16	94	18	19	0	198	4451	5	21	145	0	855	0	0	0	122	0	8	0	31	0	0	0	0	684	14	0	0	0	0	17	0	153	0	0	23	14	0	0	82	313	0	20	0	0	0	511	0	32	0	56	0	0	303	0	0	0	0	0	570	0	0	0	0	1162	168	0	0	5	0	0	58	0	67	0	0	0	0	0	10	0	100	0	0	27	0	39	0	0	227	0	0	181	30	112	48	79	0	30	202	13	0	0	52	0	7	9	202	32	521	70	106	0	0	0	0
19LIB028-19MET476	0	107	0	103	0	11	0	59	45	37	5	0	0	414	873	0	23	0	931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	29	0	0	0	181	101	0	0	0	16	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	0	2	40	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	361	0	0	0	0	0	0	140	1250	72	248	12	0	0	56	270	0	0	279	19	0	0	0	0	0	0	0	0	0	0	122	0	0	0	3712	22	47	0	0	352	21	7	0	4	1766	18	0	0	0	17	126	41	0	179	9	540	0	769	2658	59	0	112	38	130	0	0	0	288	0	0	0	368	0	0	0	0	1002	28	0	0	0	0	17	0	155	0	0	57	61	0	0	60	242	19	100	5	0	0	617	0	0	0	109	0	0	17	0	0	0	0	0	373	0	0	0	0	195	15	5	0	18	0	6	26	0	168	0	0	45	0	33	0	0	73	0	0	40	0	9	0	0	77	16	20	20	28	76	137	349	0	21	83	28	0	28	31	11	0	259	269	54	23	14	64	0	48	0	0
19LIB028-19MET479	0	0	0	62	0	0	0	31	41	150	204	0	0	541	432	29	20	0	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	46	0	0	0	55	136	6	0	0	0	0	0	0	0	0	19	0	7	0	0	0	0	0	0	0	0	93	18	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	75	0	0	348	0	0	0	0	0	0	216	1198	0	309	0	0	50	6	127	0	0	338	55	0	0	0	0	0	0	0	0	0	0	130	0	0	0	3134	31	110	0	0	494	8	5	0	0	1014	27	0	0	0	25	110	112	243	34	47	69	0	213	3102	15	0	98	69	238	0	0	0	58	0	0	0	125	0	0	0	13	939	47	0	0	0	0	65	0	137	0	17	87	45	9	0	173	154	28	148	45	0	0	589	0	43	0	133	0	0	0	0	0	0	0	13	605	0	0	0	0	246	76	9	0	85	0	9	48	0	162	0	0	0	0	24	4	7	73	0	0	89	0	21	0	0	39	21	0	34	67	85	226	309	0	10	68	15	0	0	9	20	0	242	265	80	62	16	395	0	42	0	22
